Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
Sri Udupi Food Hub,1,Yes,4.1 out of 5,175,"Filter Coffee, Masala Dosa, Idli, Vada",500
House Of Kebabs,1,No,3.8 out of 5,540,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
Roll N Rock,1,No,3.8 out of 5,124,"Rolls, Paratha, Chicken Biryani",400
BOX8- Desi Meals,1,No,4.1 out of 5,340,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
KFC,1,No,3.8 out of 5,505,"Burgers, French Fries",450
Roll Over,1,No,4.1 out of 5,438,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
Imperial Restaurant,1,No,3.7 out of 5,264,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
Wahab,1,No,3.7 out of 5,97,"Chicken Biryani, Rolls",350
Canton,1,No,3.6 out of 5,195,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
The Blue Wagon - Kitchen,1,No,4.6 out of 5,228,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
Patio 805,1,Yes,4.1 out of 5,364,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","1,200"
Lassi Corner,1,No,3.7 out of 5,107,Lassi,150
Sagar Deluxe,1,No,3.2 out of 5,167,"Coffee, Chaat",300
Energy Addaa,1,No,4.2 out of 5,64,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
Tandoori Knight,1,No,3.0 out of 5,290,"Chicken Grill, Biryani, Roti, Chicken Masala",450
Dev Sagar - Food Street,1,No,4.1 out of 5,233,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
Mitraa Da Pizza,1,No,3.8 out of 5,115,"Pizza, Burgers",250
Grazers,1,Yes,3.9 out of 5,291,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
Shakes Theory,1,No,4.5 out of 5,155,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
@Italy,1,No,4.1 out of 5,305,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
Old Mumbai Ice Cream,1,No,3.9 out of 5,38,Friendly Staff,150
Donne Biriyani House,1,No,3.9 out of 5,441,Biryani,400
Kedia's Fun Food,1,No,4.3 out of 5,630,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
Just Shawarma,1,No,3.9 out of 5,160,"Whole Meat Shawarma, Fries",300
Mini Punjabi Dhaba,1,No,4.2 out of 5,287,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
Gokul Veg,1,No,3.8 out of 5,469,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
Olive - Era,1,No,3.3 out of 5,511,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
Gama Gama,1,No,3.9 out of 5,264,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
Pizza Hut,1,No,3.8 out of 5,693,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
Mangalore Pearl,1,No,3.8 out of 5,242,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
Twiststick House,1,No,4.1 out of 5,163,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
Cool Corner,1,No,4.2 out of 5,191,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
Pizza Mane,1,No,3.5 out of 5,32,"French Fries, Burgers",150
Dal Tadkaa,1,No,2.5 out of 5,247,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
Chutney Chang,1,Yes,4.1 out of 5,2339,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","1,500"
Mystique Palate,1,No,4.1 out of 5,337,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
Thamboola,1,No,3.9 out of 5,135,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
Castle Rock,1,No,3.6 out of 5,172,Biryani,700
Vietnamese Kitchen,1,No,3.6 out of 5,105,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
Toscano,1,Yes,4.3 out of 5,1129,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","1,300"
Stoned Monkey,1,No,4.3 out of 5,860,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
Central Jail Restaurant,1,No,3.8 out of 5,412,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
Bella,1,Yes,3.9 out of 5,142,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","1,000"
New Prashanth Hotel,1,No,3.6 out of 5,143,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
Karma Kaapi,1,No,4.4 out of 5,181,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
Tiwari's,1,No,3.8 out of 5,70,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
Pizza Stop,1,No,3.8 out of 5,164,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
Biggies Burger 'n' More,1,No,3.6 out of 5,58,"Burgers, Fries, Mojito, Chicken Burger",650
Kollapuri's,0,No,3.9 out of 5,206,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
RS Shiv Sagar,0,No,3.7 out of 5,217,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
Harshi Super Sandwich,0,No,3.8 out of 5,148,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
Ugadi,1,No,2.9 out of 5,177,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
Subway,1,No,3.7 out of 5,136,"Veggie Delight, Paneer Tikka, Salad",600
The Lassi Park,1,No,4.1 out of 5,185,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
A2B - Adyar Ananda Bhavan,1,No,3.8 out of 5,155,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400
Srikrishna Bhavan,1,No,3.8 out of 5,42,"Roti, Masala Dosa",300
Green Gardenia,1,No,3.8 out of 5,160,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700
J Spice,1,No,3.8 out of 5,59,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",750
Hatti Kaapi,1,No,4.0 out of 5,89,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200
Upahara Darshini,1,No,3.9 out of 5,40,Masala Dosa,600
The Chaat Shop,1,No,2.5 out of 5,35,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",200
Samskruti - Sanman Gardenia,1,No,4.1 out of 5,139,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
Chumma Delicious,1,No,3.7 out of 5,237,Chicken Biryani,200
New Prashanth Hotel,1,No,3.9 out of 5,388,"Chicken Biryani, Ragi Mudde, Mutton Chops",650
Dwaraka Grand,1,No,3.9 out of 5,128,"Masala Dosa, Coffee",500
Gufha - The President Hotel,1,Yes,4.1 out of 5,1875,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","1,200"
Mojo Pizza - 2X Toppings,1,No,4.2 out of 5,179,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",600
South Kitchen,1,No,4.3 out of 5,275,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100
Chung Wah,1,No,3.7 out of 5,323,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",850
Prems Graama Bhojanam,1,No,4.3 out of 5,322,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",400
Java City,1,No,2.6 out of 5,157,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",450
Kamat Bugle Rock,1,No,3.9 out of 5,543,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",300
Puliyogare Point,1,No,4.2 out of 5,444,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100
Bangalore Agarwal Bhavan,1,No,3.9 out of 5,134,"Paratha, Coffee, Halwa, Lassi",400
Rustic Stove,1,No,3.8 out of 5,577,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",900
De Thaali,1,No,3.9 out of 5,144,"Malai Kofta, Sandwich, Naan",550
Matru Sagar,1,No,3.6 out of 5,84,"Coffee, Masala Dosa",250
Sea Spice by 7 Star,1,Yes,4.0 out of 5,349,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","1,200"
Desi Dawat,1,No,3.7 out of 5,248,"Tandoori Chicken, Rolls",400
Cafe Aira,1,No,4.1 out of 5,216,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",500
Mast Punjabi,1,No,2.6 out of 5,231,Aloo Paratha,400
South Grand,1,No,3.4 out of 5,102,Rava Dosa,400
The Pizzeria,1,No,2.8 out of 5,45,Pesto Pizza,800
Ruchis Point,1,No,3.8 out of 5,75,"Sandwiches, Noodles, Sandwich",200
Firangi Bake,1,No,4.0 out of 5,53,"Lasagne, Steak, Masala Quesadilla, Garlic Bread",600
The Royal Corner - Pai Viceroy,1,Yes,4.2 out of 5,815,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian",900
Hara Fine Dine,1,Yes,4.0 out of 5,633,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",800
Chocoberry,1,No,3.5 out of 5,56,"Waffles, Cup Cake, Chocolate Cake",400
Waffle-A-Go Go,1,No,3.9 out of 5,70,Waffles,400
Cross Road Cafe,1,No,3.9 out of 5,91,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali",300
Bakers Town,1,No,3.8 out of 5,77,"Freak Shake, Fries, Pasta Alfredo",650
Ivy,1,No,3.8 out of 5,210,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken",600
The Airos,1,No,4.1 out of 5,130,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls",650
Chai Kraft,1,No,4.1 out of 5,30,"Masala Chai, Coffee, Masala Tea, Maggi",100
The Trundle,1,No,3.7 out of 5,133,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup",700
The Krishna Grand Xpress,1,No,4.0 out of 5,136,"Vada, Masala Dosa, Idli",350
Udupi Grand,1,No,3.8 out of 5,74,"Coffee, Masala Dosa, Vegetable Biryani",300
Little Cafe,1,No,3.7 out of 5,54,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread",600
1980s Games Cafe,1,No,3.4 out of 5,58,"Maggi, Pasta, Burgers, Sandwiches, Fries",400
Kadala Tarangaa,1,No,3.6 out of 5,129,"Sea Food, Neer Dosa",600
As On Fire,1,No,3.5 out of 5,41,Pizza,400
Curry Leaves,1,No,4.1 out of 5,176,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani",800
Magic Meals,1,No,3.7 out of 5,47,"Biryani, Thick Shakes, Fries",400
Desi Cream Junction,1,Yes,3.7 out of 5,36,Vegetarian,650
Eat Repeat,1,No,3.9 out of 5,101,"Sweet Pongal, Curd Rice",150
Salut,1,Yes,4.1 out of 5,442,"Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Brownie, Pepper Chicken","1,200"
Sandwich Mama's And Frozen Monster,1,No,3.8 out of 5,53,"Waffles, Sandwiches, Maggi, Thick Shakes, Chocolate Sandwich",250
Food Springs,1,No,4.0 out of 5,232,"Honey Chilli Potatoes, Nachos, Lemonade, Hakka Noodles, Babycorn Manchurian, Mushroom Manchurian, Spring Roll",400
Chung's Chinese Corner,1,No,3.9 out of 5,221,"Manchow Soup, Momos, Wonton Soup, Chowmein, American Chopsuey, Chop Suey, Manchurian",700
Eurasia Pasta and Barbeque by Little Italy,1,Yes,4.1 out of 5,1063,"Pasta, Pizza, Nachos, Gelato, Ravioli, Jalapeno Poppers, Cocktails","1,200"
Goli Vada Pav No. 1,1,No,3.7 out of 5,93,"Masala Vada Pav, Cheese Vada Pav, Fries",200
Ragoo's,1,No,3.9 out of 5,233,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli",800
Pure & Natural,1,No,3.9 out of 5,211,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad",500
Maiyas,1,No,4.0 out of 5,1778,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath",200
Sip n Dine,1,No,3.6 out of 5,218,"Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka",800
Cafe Mondo,1,No,3.7 out of 5,514,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge",600
Jalpaan,1,Yes,4.0 out of 5,866,"Mocktails, Tomato Soup, Pasta, Nachos, Chaat, Potli Biryani, Lassi",900
Kataria's Pakwan,1,No,3.2 out of 5,96,"Paratha, Lassi, Manchurian, Thali",400
Juicy Momos,1,No,3.5 out of 5,80,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos",250
Amande Patisserie,1,No,4.0 out of 5,73,"Macaroon, Mousse, Caramel Eclair",300
Anand Sweets and Savouries,1,No,3.9 out of 5,84,"Dahi Papadi Chaat, Papdi Chaat, Bhel Puri, Paratha, Kachori, Thali, Masala Poori",400
Chicken Hunt,1,No,3.5 out of 5,88,Chicken Grill,350
Swadesh Tadka,1,No,3.5 out of 5,179,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani",600
Cane-O-La,1,No,3.8 out of 5,61,"Sugarcane Juice, Popcorn",100
New Biryani Mane,1,No,3.7 out of 5,128,"Egg Biryani, Tandoori Chicken, Fish, Rumali Roti",450
Upahara Darshini,1,No,3.8 out of 5,339,"Rava Dosa, Roti, Masala Dosa, Kulcha, Sandwiches, Vada Pav, Idli",400
Karnataka Bhel House,1,No,4.1 out of 5,449,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",100
Sreeraj Lassi Bar,1,No,4.1 out of 5,210,"Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",150
Bunt's Biriyani Palace,1,No,3.0 out of 5,213,"Neer Dosa, Sea Food, Pepper Chicken",400
Chai Point,1,No,3.2 out of 5,208,"Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut",250
Janahaar,1,No,3.8 out of 5,70,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",100
Utsav,1,No,3.7 out of 5,59,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav",200
The Spice Saga,1,No,3.7 out of 5,124,"Biryani, Chicken Grill, Butter Chicken",750
Subz,1,Yes,4.2 out of 5,2022,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries","1,000"
Mint and Mustard,1,No,4.0 out of 5,232,"Paneer Tikka, Masala Papad, Garlic Naan",750
Punjabi Raswada,1,Yes,3.5 out of 5,431,"Gajar Ka Halwa, Lassi, Jeera Rice, Shahi Paneer, Shikanji, Makke Ki Roti, Kofta Curry",800
Vinny's,1,Yes,4.2 out of 5,2115,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",800
Kapoor's Cafe,1,No,4.2 out of 5,150,"Lassi, French Fries, Cheese Balls, Paneer Pakora, Dal Makhani, Buttermilk, Cheese Paratha",800
Sukh Sagar,1,No,3.8 out of 5,155,"Pav Bhaji, Chaat, Sandwiches, Coffee, Noodles, Masala Dosa, Roti",450
Andhra Ruchulu,1,Yes,4.1 out of 5,666,"Andhra Meal, Mutton Biryani, Chicken Sholay, Chicken Biryani, Chicken Guntur, Andhra Thali, Guava Ice Cream","1,000"
Steaming Mugs,1,No,3.9 out of 5,240,"Fries, Oreo Shake, Pasta Arrabiata",700
Rajathadri Food Fort,1,No,4.0 out of 5,465,"Butter Naan, Filter Coffee, Pav Bhaji, Vada, Babycorn Manchurian, Tea, Paneer Tikka Masala",600
Brew Meister,1,Yes,4.1 out of 5,970,"Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav","1,500"
Rasoi,1,No,3.3 out of 5,128,"Lassi, Panneer Butter Masala, Paratha, Thali",300
Mr. Singh Da Dhaba,1,No,3.6 out of 5,241,"Mughlai Paratha, Laccha Paratha, Rolls",300
Ayodhya Upachar,1,No,4.3 out of 5,734,"Panneer Butter Masala, Vada, Curd Rice, Idli, Jeera Rice, Naan, Kulcha",200
Biriyani Mane,1,No,3.8 out of 5,130,"Biryani, Chilli Chicken, Neer Dosa",400
Cafe Ajfan,1,No,4.2 out of 5,261,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries",700
Brundhavana Food Point,1,No,4.0 out of 5,191,Biryani,300
SLV Corner Restaurant,1,No,4.1 out of 5,364,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast",550
The Krishna Grand,1,No,3.9 out of 5,888,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat",750
